,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
1023,2020-01-26,Emory,71,1284,"Score(team_a=4, team_b=3)",Central Florida,77.0,1244.0,40.0,3.75
1024,2020-02-15,Emory,71,1284,"Score(team_a=11, team_b=0)",Belmont,199.0,283.0,1001.0,14.999999999999998
1025,2020-02-15,Emory,71,1284,"Score(team_a=11, team_b=2)",Jacksonville State,173.0,527.0,757.0,12.272727272727272
1027,2020-02-15,Emory,71,1284,"Score(team_a=7, team_b=8)",Iowa State,114.0,951.0,333.0,-1.875
1028,2020-02-16,Emory,71,1284,"Score(team_a=11, team_b=2)",Wisconsin-Milwaukee,152.0,701.0,583.0,12.272727272727272
1029,2020-02-16,Emory,71,1284,"Score(team_a=13, team_b=6)",Alabama-Huntsville,124.0,909.0,375.0,8.076923076923077
1030,2020-02-16,Emory,71,1284,"Score(team_a=10, team_b=3)",Auburn,90.0,1127.0,157.0,10.5
1031,2020-02-22,Colorado State,72,1278,"Score(team_a=13, team_b=5)",Texas Christian,181.0,460.0,818.0,9.23076923076923
1032,2020-02-22,Colorado State,72,1278,"Score(team_a=9, team_b=5)",Trinity,117.0,943.0,335.0,6.666666666666667
1034,2020-02-22,Colorado State,72,1278,"Score(team_a=13, team_b=4)",Baylor,177.0,492.0,786.0,10.384615384615383
1035,2020-02-23,Colorado State,72,1278,"Score(team_a=13, team_b=5)",Arkansas,188.0,403.0,875.0,9.23076923076923
1036,2020-02-23,Colorado State,72,1278,"Score(team_a=12, team_b=5)",Texas A&M,86.0,1176.0,102.0,8.75
1038,2020-03-07,Colorado State,72,1278,"Score(team_a=7, team_b=4)",Illinois,150.0,714.0,564.0,6.428571428571429
1039,2020-03-07,Colorado State,72,1278,"Score(team_a=11, team_b=3)",Kansas State,236.0,-186.0,1464.0,10.909090909090908
1040,2020-03-07,Colorado State,72,1278,"Score(team_a=10, team_b=5)",John Brown,131.0,858.0,420.0,7.5
1041,2020-03-07,Colorado State,72,1278,"Score(team_a=10, team_b=5)",Iowa,135.0,831.0,447.0,7.5
1043,2020-03-08,Colorado State,72,1278,"Score(team_a=6, team_b=8)",St Olaf,78.0,1239.0,39.0,-3.75
1044,2020-03-08,Colorado State,72,1278,"Score(team_a=13, team_b=2)",Wisconsin-Milwaukee,152.0,701.0,577.0,12.692307692307692
1046,2020-02-08,Portland,73,1272,"Score(team_a=10, team_b=6)",Chico State,121.0,929.0,343.0,6.0
1048,2020-02-08,Portland,73,1272,"Score(team_a=13, team_b=6)",Santa Clara,136.0,823.0,449.0,8.076923076923077
1049,2020-02-08,Portland,73,1272,"Score(team_a=13, team_b=3)",Air Force,165.0,571.0,701.0,11.538461538461537
1050,2020-02-09,Portland,73,1272,"Score(team_a=7, team_b=6)",San Diego State University,85.0,1198.0,74.0,2.142857142857143
1055,2020-02-29,Portland,73,1272,"Score(team_a=11, team_b=5)",Pacific Lutheran,107.0,1047.0,225.0,8.181818181818182
1056,2020-03-01,Portland,73,1272,"Score(team_a=15, team_b=7)",Portland State,183.0,450.0,822.0,8.0
1062,2020-01-18,South Florida,74,1272,"Score(team_a=6, team_b=4)",North Georgia,98.0,1079.0,193.0,5.0
1066,2020-02-15,South Florida,74,1272,"Score(team_a=11, team_b=3)",Tennessee-Chattanooga,166.0,568.0,704.0,10.909090909090908
1067,2020-02-15,South Florida,74,1272,"Score(team_a=8, team_b=7)",North Georgia,98.0,1079.0,193.0,1.875
1069,2020-02-15,South Florida,74,1272,"Score(team_a=11, team_b=0)",Berry,211.0,162.0,1110.0,14.999999999999998
1073,2020-02-22,Texas State,75,1252,"Score(team_a=13, team_b=5)",North Texas,216.0,80.0,1172.0,9.23076923076923
1074,2020-02-22,Texas State,75,1252,"Score(team_a=11, team_b=5)",Rice,113.0,956.0,296.0,8.181818181818182
1075,2020-02-23,Texas State,75,1252,"Score(team_a=7, team_b=9)",Texas A&M,86.0,1176.0,76.0,-3.3333333333333335
1076,2020-02-23,Texas State,75,1252,"Score(team_a=5, team_b=8)",Trinity,117.0,943.0,309.0,-5.625
1078,2020-02-29,Texas State,75,1252,"Score(team_a=12, team_b=3)",Indiana,105.0,1055.0,197.0,11.25
1079,2020-02-29,Texas State,75,1252,"Score(team_a=9, team_b=6)",LSU,139.0,812.0,440.0,5.0
1080,2020-02-29,Texas State,75,1252,"Score(team_a=6, team_b=8)",Central Florida,77.0,1244.0,8.0,-3.75
1082,2020-03-01,Texas State,75,1252,"Score(team_a=11, team_b=3)",Mississippi State,102.0,1066.0,186.0,10.909090909090908
1088,2020-03-01,New Hampshire,76,1246,"Score(team_a=14, team_b=7)",American,123.0,916.0,330.0,7.5
1089,2020-03-07,New Hampshire,76,1246,"Score(team_a=8, team_b=7)",SUNY-Stony Brook,127.0,884.0,362.0,1.875
1090,2020-03-07,New Hampshire,76,1246,"Score(team_a=9, team_b=7)",Syracuse,119.0,930.0,316.0,3.3333333333333335
1092,2020-03-07,New Hampshire,76,1246,"Score(team_a=6, team_b=5)",Brandeis,99.0,1076.0,170.0,2.5
1093,2020-03-08,New Hampshire,76,1246,"Score(team_a=10, team_b=2)",Drexel,146.0,748.0,498.0,12.0
1094,2020-03-08,New Hampshire,76,1246,"Score(team_a=11, team_b=6)",Brandeis,99.0,1076.0,170.0,6.8181818181818175
1097,2020-01-25,Central Florida,77,1244,"Score(team_a=4, team_b=2)",Georgia State,144.0,770.0,474.0,7.5
1098,2020-01-25,Central Florida,77,1244,"Score(team_a=10, team_b=2)",Belmont,199.0,283.0,961.0,12.0
1099,2020-01-25,Central Florida,77,1244,"Score(team_a=13, team_b=3)",Tennessee,91.0,1118.0,126.0,11.538461538461537
1105,2020-02-29,Central Florida,77,1244,"Score(team_a=7, team_b=3)",LSU,139.0,812.0,432.0,8.571428571428571
1107,2020-02-29,Central Florida,77,1244,"Score(team_a=8, team_b=9)",Indiana,105.0,1055.0,189.0,-1.6666666666666667
1108,2020-03-01,Central Florida,77,1244,"Score(team_a=13, team_b=4)",St Benedict,159.0,604.0,640.0,10.384615384615383
1110,2020-03-01,Central Florida,77,1244,"Score(team_a=4, team_b=9)",Mississippi State,102.0,1066.0,178.0,-8.333333333333334
1115,2020-02-22,St Olaf,78,1239,"Score(team_a=12, team_b=3)",Macalester,178.0,491.0,748.0,11.25
1116,2020-03-07,St Olaf,78,1239,"Score(team_a=13, team_b=2)",Oklahoma,198.0,286.0,953.0,12.692307692307692
1117,2020-03-07,St Olaf,78,1239,"Score(team_a=13, team_b=2)",Tulsa,176.0,506.0,733.0,12.692307692307692
1120,2020-03-08,St Olaf,78,1239,"Score(team_a=9, team_b=4)",John Brown,131.0,858.0,381.0,8.333333333333334
1131,2020-03-07,Oberlin,79,1238,"Score(team_a=9, team_b=5)",MIT,133.0,844.0,394.0,6.666666666666667
1133,2020-03-07,Oberlin,79,1238,"Score(team_a=5, team_b=9)",NYU,101.0,1075.0,163.0,-6.666666666666667
1134,2020-03-07,Oberlin,79,1238,"Score(team_a=8, team_b=7)",Yale,109.0,1026.0,212.0,1.875
1136,2020-03-08,Oberlin,79,1238,"Score(team_a=7, team_b=5)",Yale,109.0,1026.0,212.0,4.285714285714286
1137,2020-03-08,Oberlin,79,1238,"Score(team_a=9, team_b=7)",Temple,80.0,1235.0,3.0,3.3333333333333335
1139,2020-02-15,Temple,80,1235,"Score(team_a=7, team_b=8)",Mary Washington,128.0,877.0,358.0,-1.875
1141,2020-02-15,Temple,80,1235,"Score(team_a=13, team_b=3)",Catholic,134.0,838.0,397.0,11.538461538461537
1142,2020-02-16,Temple,80,1235,"Score(team_a=11, team_b=4)",Maryland,110.0,1018.0,217.0,9.545454545454545
1147,2020-03-07,Temple,80,1235,"Score(team_a=7, team_b=6)",Brown,87.0,1146.0,89.0,2.142857142857143
1148,2020-03-07,Temple,80,1235,"Score(team_a=6, team_b=5)",Colby,89.0,1133.0,102.0,2.5
1149,2020-03-08,Temple,80,1235,"Score(team_a=7, team_b=8)",Cornell,96.0,1082.0,153.0,-1.875
1150,2020-03-08,Temple,80,1235,"Score(team_a=10, team_b=5)",NYU,101.0,1075.0,160.0,7.5
